feature,title,category,kind,page_path,source,processing,meaning,notes,count,missing_pct,mean,median,std,min,q05,q95,max,latest,nunique,mode
fll_cwt_kf,fll_cwt_kf｜有效多头清算强度,Canonical liquidation family,numeric,feature_pages/fll_cwt_kf.html,fll_normal,对多头清算侧做 trailing wavelet trend extraction、Kalman smoothing 与非负投影。,表达当前有效多头清算压力腿的强度。,是 total、diff、risk_priority_number 和标准化特征的基础侧向序列。,9178,0.0,7.357803768203208,6.608818006513534,4.07030510901842,0.5733510763674532,2.2884542351647466,15.712128071772396,24.595199421106354,2.1198222622960223,,
fsl_cwt_kf,fsl_cwt_kf｜有效空头清算强度,Canonical liquidation family,numeric,feature_pages/fsl_cwt_kf.html,fsl_normal,对空头清算侧做 trailing wavelet trend extraction、Kalman smoothing 与非负投影。,表达当前有效空头清算压力腿的强度。,是 total、diff、risk_priority_number 和标准化特征的基础侧向序列。,9178,0.0,6.697588167058888,5.8926936133020975,3.7258665717169333,0.47654435231124537,2.155180367243441,14.681821769987375,21.189615946523258,3.317931434550611,,
diff_ls_cwt_kf,diff_ls_cwt_kf｜有效净清算差,Canonical liquidation family,numeric,feature_pages/diff_ls_cwt_kf.html,fll_cwt_kf - fsl_cwt_kf,由两条有效侧向清算序列直接相减得到。,表达多头清算与空头清算之间的净方向压力。,正值偏 FLL dominant，负值偏 FSL dominant。,9178,0.0,0.66021560114432,0.6277826374893287,1.9246099460986066,-6.020764163177506,-2.3863394120842796,3.728737834824894,9.584650901865626,-1.1981091722545885,,
total_ls_cwt_kf,total_ls_cwt_kf｜有效总清算强度,Canonical liquidation family,numeric,feature_pages/total_ls_cwt_kf.html,fll_cwt_kf + fsl_cwt_kf,由两条有效侧向清算序列直接相加得到。,表达不含方向的总清算压力强度。,是 z_logTotalP 的原始有效总量来源。,9178,0.0,14.055391935262096,12.448691447281076,7.562724861903728,1.0498954286786986,4.882256793147758,30.540876024420616,44.84558558838524,5.437753696846633,,
risk_priority_number,risk_priority_number｜多头清算占比,Canonical liquidation family,numeric,feature_pages/risk_priority_number.html,fll_cwt_kf / total_ls_cwt_kf,由 fll_cwt_kf / total_ls_cwt_kf 直接得到，总清算为 0 时定义为 0.5。,表达有效强平中多头清算占总清算的比例。,历史模型层别名为 RPN；当前合并输出只保留 risk_priority_number。,9178,0.0,0.5227099003865902,0.5239245792415124,0.08205519717035935,0.21217955415745327,0.3852025383918956,0.6608734924502598,0.8534669414996512,0.389834181626307,,
bin_index,bin_index｜risk_priority_number 有序分箱,Liquidation stress + direction (normalized),categorical,feature_pages/bin_index.html,risk_priority_number,基于 past-only expanding quantile binning 的 9 档有序标签。,离散表达当前 liquidation dominance 处于历史相对高低的哪个区间。,它是 ordered label，不应解释为等距距离。,9178,0.0,,,,,,,,0,9.0,0
dominance,dominance｜清算方向主导状态,Dominance state (rule-derived),categorical,feature_pages/dominance.html,bin_index + risk_priority_number + diff_ls_cwt_kf + rolling quantile thresholds,"先由 past-only rolling quantile 构造 diff 阈值，再结合 bin_index 与 risk_priority_number 的 regime 条件，输出 {-1,0,1} 的离散状态。",表达当前是否处于 FLL dominant / FSL dominant / neutral congestion 的规则状态。,当前编码为：1=FSL dominant / upward pressure，-1=FLL dominant / downward pressure，0=neutral。,9178,0.0,,,,,,,,1,3.0,0
diff_dom_ls_cwt_kf,diff_dom_ls_cwt_kf｜有效清算方向占优度,Canonical liquidation family,numeric,feature_pages/diff_dom_ls_cwt_kf.html,diff_ls_cwt_kf / total_ls_cwt_kf,由有效净清算差除以有效总清算强度得到。,表达 scale-free 的净方向偏置。,与 risk_priority_number 严格仿射等价：diff_dom_ls_cwt_kf = 2 * risk_priority_number - 1。,9178,0.0,0.04541980077327563,0.04784915848309983,0.16411039434071695,-0.5756408916849888,-0.22959492321604869,0.32174698490061504,0.7069338829993765,-0.2203316367472022,,
z_logTotalP,z_logTotalP｜总清算压力标准化,Liquidation stress + direction (normalized),numeric,feature_pages/z_logtotalp.html,log1p(total_ls_cwt_kf),由 side-first canonical total pressure 经 log1p 压缩后，再做 rolling median/MAD robust z-score。,衡量当前总清算压力相对近期基线有多异常。,适合做 stress / regime 识别，不宜单独解释方向。,9175,0.03268685988232731,0.14255556188673482,0.01351927397038147,1.9516520183647332,-19.378445790229872,-2.2549928866102076,2.769076463291308,41.00637948836821,0.37886454822595195,,
z_sdom,z_sdom｜方向主导度标准化,Liquidation stress + direction (normalized),numeric,feature_pages/z_sdom.html,diff_dom_ls_cwt_kf,由 canonical sdom 直接做 rolling median/MAD robust z-score。,衡量当前哪一侧强平更占主导，以及该偏置相对近期是否异常。,解释时必须结合 z_logTotalP。,9175,0.03268685988232731,-4874225.402511834,-0.01512294406188905,466883625.55141634,-44721017813.1179,-2.9806553275992522,2.934281247102901,33.11604549715615,-4.092044926236718,,
